Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,21.120001,22.129999,20.930000,21.870001,12.303879,47489800
2021-03-05,22.150000,22.799999,21.790001,22.059999,12.410770,43166600
2021-03-08,21.700001,21.990000,20.870001,21.000000,11.814425,40592700
2021-03-09,21.139999,21.900000,20.780001,21.389999,12.033834,33864000
2021-03-10,21.690001,22.290001,21.469999,22.290001,12.540168,33131800
2021-03-11,22.500000,23.150000,22.440001,22.950001,12.911479,39160900
2021-03-12,22.809999,23.080000,22.490000,22.700001,12.770831,19890600
2021-03-15,22.740000,23.260000,22.639999,23.260000,13.085881,17028300
2021-03-16,23.139999,23.219999,22.760000,22.910000,12.888975,15310200
2021-03-17,22.879999,23.760000,22.650000,23.639999,13.299666,25962600
2021-03-18,23.400000,23.520000,22.760000,22.969999,12.922729,26139300
2021-03-19,22.980000,23.620001,22.780001,23.520000,13.232155,37789800
2021-03-22,23.230000,23.309999,22.770000,23.080000,12.984616,18776800
2021-03-23,22.809999,23.250000,22.549999,22.549999,12.686441,15989200
2021-03-24,22.770000,23.320000,22.530001,22.530001,12.675190,22253300
2021-03-25,22.379999,23.120001,21.980000,22.959999,12.917105,23611500
2021-03-26,23.200001,23.780001,22.959999,23.299999,13.108384,21935500
2021-03-29,23.090000,23.660000,23.090000,23.650000,13.305293,16628800
2021-03-30,23.360001,23.820000,23.360001,23.580000,13.265910,15046700
2021-03-31,23.590000,24.120001,23.540001,23.940001,13.468444,16817600
2021-04-01,24.129999,24.180000,23.469999,23.620001,13.288413,17294200
2021-04-05,23.799999,23.950001,23.530001,23.870001,13.429064,13356000
2021-04-06,23.900000,24.139999,23.590000,23.690001,13.327796,15745800
2021-04-07,23.590000,24.059999,23.570000,23.799999,13.389681,22334400
2021-04-08,23.770000,23.809999,23.209999,23.400000,13.164645,21325900
2021-04-09,23.139999,23.620001,23.090000,23.500000,13.220902,21537900
2021-04-12,23.600000,24.230000,23.590000,23.740000,13.355924,13987300
2021-04-13,23.750000,23.940001,23.530001,23.740000,13.355924,17292200
2021-04-14,23.860001,24.430000,23.670000,24.120001,13.569713,26209700
2021-04-15,23.510000,23.610001,22.860001,22.920000,13.332858,15755200
2021-04-16,22.809999,23.129999,22.430000,22.650000,13.175794,38648600
2021-04-19,22.650000,24.290001,22.480000,23.790001,13.838947,53749800
2021-04-20,23.809999,24.010000,23.110001,23.200001,13.495737,32032000
2021-04-22,23.510000,23.540001,23.110001,23.209999,13.501553,17247700
2021-04-23,23.360001,23.410000,23.010000,23.270000,13.536456,16676900
2021-04-26,23.350000,23.580000,23.180000,23.299999,13.553907,11732500
2021-04-27,23.350000,23.639999,22.620001,22.740000,13.228148,22021900
2021-04-28,22.959999,23.620001,22.930000,23.549999,13.699336,19082500
